id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Good morning. Passport and ticket, please.","Доброе утро. Паспорт и билет, пожалуйста.","Buenos días. Pasaporte y boleto, por favor.",dobroe utro pasport i bilet pozhaluysta,buenos dias pasaporte i boleto por fabor,гуд морнинг паспорт энд тикет плиз,буэнос диас пасапорте и болето пор фавор,gud morning pasport and tiket pliz,dobroe utro pasport i bilet pozhaluista,NPC
2,1,2,Here they are. One bag to check.,Вот они. Один багаж сдать.,Aquí están. Una maleta para facturar.,vot oni odin bagazh sdat,aki estan una maleta para fakturar,хир зэй ар уан бэг ту чек,аки эстан уна малета пара фактурар,jir dei ar uan beg tu chek,vot oni odin bagaj sdat,User
3,1,3,That’s 22 kilos. Any carry-on?,Это 22 килограмма. Ручная кладь есть?,Son 22 kilos. ¿Tiene equipaje de mano?,eto 22 kilogramm ruchnaya klad est,son 22 kilos tiene ekipage de mano,зэтс туэнти ту килоуз эни кэрри-он,сон 22 килос тьене экипаже де мано,dats tuenti tu kilouz eni kerri-on,eto 22 kilogramm ruchnaia klad est,NPC
4,1,4,Just this backpack.,Только этот рюкзак.,Solo esta mochila.,tolko etot ryukzak,solo esta mochila,джаст зис бэкпэк,соло эста мочила,djast dis bekpek,tolko etot riukzak,User
5,2,1,Please remove laptops and liquids.,"Пожалуйста, достаньте ноутбуки и жидкости.","Por favor, saque computadoras y líquidos.",pozhaluysta dostante noutbuki i zhidkosti,por fabor sake komputadoras i likidos,плиз римув лэптопс энд ликвидз,пор фавор саке компутадорас и ликидо,pliz rimu v leptops and likvidz,pozhaluista dostante noutbuki i jidkosti,NPC
6,2,2,Done. Shoes off too?,Готово. Обувь тоже снимать?,Listo. ¿Zapatos también?,gotovo obuv tozhe snimat,listo sapatos tambien,дан шуз оф ту,листо сапатос тамбьен,dan shuz of tu,gotovo obuv tozhe snimat,User
7,2,3,"Yes, and belt please.","Да, и ремень, пожалуйста.","Sí, y el cinturón, por favor.",da i remen pozhaluysta,si i el sinturon por fabor,йес энд белт плиз,си и эль синтурон пор фавор,ies and belt pliz,da i remen pozhaluista,NPC
8,2,4,"Okay, all set.","Хорошо, всё готово.","Listo, todo listo.",khorosho vsyo gotovo,listo todo listo,оукей ол сет,листо тодо листо,oukei ol set,jorosho vsio gotovo,User
9,3,1,"Flight to Berlin, gate change to B45.","Рейс в Берлин, выход сменился на B45.","Vuelo a Berlín, puerta cambiada a B45.",reys v berlin vykhod smenilsya na b45,buelo a berlin puerta kambiada a b45,флайт ту берлин гейт чейндж ту би фоти файв,вуэло а берлин пуэрта камбиада а бэ куарента и синко,flait tu berlin geit cheinj tu bi forti faiv,reis v berlin vijod smenilsia na b45,NPC
10,3,2,Thanks. How far is B45?,Спасибо. Как далеко B45?,Gracias. ¿Qué tan lejos está B45?,spasibo kak daleko b45,grasias ke tan lehos esta b45,сенкс хау фар из би фоти файв,грасиас ке тан лехос эста бэ куарента и синко,zenks jau far iz bi forti faiv,spasibo kak daleko b45,User
11,3,3,About ten minutes walk. Follow the signs.,Примерно десять минут пешком. Идите по указателям.,Unos diez minutos caminando. Siga las señales.,primerno desyat minut peshkom idite po ukazatelyam,unos dies minutos kaminando siga las seniales,эбаут тен минтс уок фоллоу зэ сайнз,унос дьес минутос каминадо сига лас сеньялес,ebaut ten mints uok follou de sainz,primerno desiat minut peshkom idite po ukazateliam,NPC
12,3,4,Got it. Thank you.,Понял. Спасибо.,Entendido. Gracias.,ponyal spasibo,entendido grasias,гот ит сенк ю,энтендидо грасиас,got it zank iu,ponial spasibo,User
13,4,1,Final call for flight 305 to Tokyo.,Последний вызов на рейс 305 в Токио.,Última llamada para el vuelo 305 a Tokio.,posledniy vyзов na reys 305 v tokio,ultima yamada para el buelo 305 a tokio,файнал кол фор флайт три оу файв ту токио,ультима йямада пара эль вуэло 305 а токио,fainal kol for flait tri ou faiv tu tokio,poslednii vizov na reis 305 v tokio,NPC
14,4,2,That’s us. Let’s go.,Это мы. Пойдём.,Ese es nuestro. Vamos.,eto my poydyom,ese es nuestro bamos,зэтс ас летс гоу,эсе эс нуэстро вамос,dats as lets gou,eto mi poidiom,User
15,4,3,"Rows 20 and above, please board now.","Ряды с 20 и выше, проходите на посадку.","Filas 20 en adelante, por favor aborden ahora.",ryady s 20 i vyshe prokhodite na posadku,filas 20 en adelante por fabor aborden ahora,роуз туэнти энд эбав плиз борд нау,филас 20 эн адэланте пор фавор абборден аора,rouz tuenti and ebav pliz bord nau,riadi s 20 i vishe projodite na posadku,NPC
16,4,4,We’re row 18. Wait a bit.,Мы в 18 ряду. Подождём.,Estamos en la fila 18. Esperamos un poco.,my v 18 ryadu podozhdyom,estamos en la fila 18 esperamos un poko,уир роу эйтин уэйт э бит,эстамос эн ла фила 18 эсперамос ун поко,uir rou eitin ueit a bit,mi v 18 riadu podojdiom,User
17,5,1,Welcome aboard. Seat 12A is by the window.,Добро пожаловать на борт. Место 12A у окна.,Bienvenido a bordo. El asiento 12A está junto a la ventana.,dobro pozhalovat na bort mesto 12a u okna,bienbenido a bordo el asiento 12a esta junto a la bentana,уэлком эборд сит туэлв эй из бай зэ уиндоу,бьенвенидо а бордо эль асьенто 12а эста хунто а ла вентана,uelkom abord sit tuelv ei iz bai de uindou,dobro pozhalovat na bort mesto 12a u okna,NPC
18,5,2,Perfect. Can I have a blanket?,Отлично. Можно одеяло?,Perfecto. ¿Puedo tener una manta?,otlichno mozhno odeyalo,perfekto puedo tener una manta,перфект кэн ай хэв э блэнкит,перфекто пуэдо тенер уна манта,perfekt ken ai jev a blenkit,otlichno mojno odeialo,User
19,5,3,Of course. Here you go.,"Конечно. Вот, пожалуйста.",Claro. Aquí tiene.,konechno vot pozhaluysta,klaro aki tiene,оф корс хир ю гоу,кларо аки тьене,of kors jir iu gou,konechno vot pozhaluista,NPC
20,5,4,Thank you.,Спасибо.,Gracias.,spasibo,grasias,сенк ю,грасиас,zank iu,spasibo,User
21,6,1,Baggage claim help desk. How can I assist?,Стойка помощи с багажом. Чем помочь?,Mostrador de reclamo de equipaje. ¿En qué puedo ayudarle?,stoyka pomoshchi s bagazhom chem pomoch,mostrador de reklamos de ekipage en ke puedo ayudarle,бэгэдж клейм хелп дэск хау кэн ай эссист,мострадор де рекламо де экипаже эн ке пуэдо аюдарле,begidj kleim jelp desk jau ken ai asist,stoika pomoshchi s bagajom chem pomoch,NPC
22,6,2,My suitcase didn’t arrive.,Мой чемодан не прилетел.,Mi maleta no llegó.,moy chemodan ne priletel,mi maleta no yego,май суткейс диднт эрайв,ми малета но йего,mai sutkeis didnt eraiv,moi chemodan ne priletel,User
23,6,3,Flight number and description?,Номер рейса и описание?,¿Número de vuelo y descripción?,nomer reysa i opisanie,numero de buelo i deskripsion,флайт намбер энд дискрипшн,нумеро де вуэло и дескрипсьон,flait namber and diskripshn,nomer reisa i opisanie,NPC
24,6,4,"Flight 742, black hard case.","Рейс 742, чёрный жёсткий чемодан.","Vuelo 742, maleta negra rígida.",reys 742 chyornyy zhyostkiy chemodan,buelo 742 maleta negra rijida,флайт сэвн фоти ту блэк хард кейс,вуэло 742 малета негра рихида,flait sevn forti tu blek jard keis,reis 742 chiornii jostkii chemodan,User
25,7,1,Taxi! Where are you headed?,Такси! Куда едете?,¡Taxi! ¿A dónde va?,taksi kuda edete,taksi a donde ba,тэкси уэр ар ю хэдид,такси а донде ва,teksi uer ar iu jedid,taksi kuda edete,NPC
26,7,2,"Downtown Hilton, please.","В центр, отель Хилтон, пожалуйста.","Al centro, Hilton, por favor.",v tsentr otel khilton pozhaluysta,al sentro hilton por fabor,даунтаун хилтон плиз,аль сентро хилтон пор фавор,dauntaun jilton pliz,v tsentr otel jilton pozhaluista,User
27,7,3,Traffic is heavy. About 40 minutes.,Пробки. Примерно 40 минут.,Tráfico pesado. Unos 40 minutos.,probki primerno 40 minut,trafiko pesado unos 40 minutos,трэфик из хэви эбаут фоти минтс,трафико песадо унос 40 минутос,trefik iz jevi ebaut forti mints,probki primerno 40 minut,NPC
28,7,4,That’s fine. Do you take card?,Нормально. Принимаете карту?,Está bien. ¿Acepta tarjeta?,normalno prinimayete kartu,esta bien asepta tarjeta,зэтс файн ду ю тэйк кард,эста бьен асепта тархета,dats fain du iu teik kard,normalno prinimaete kartu,User
29,7,5,"Yes, or cash. Meter is running.","Да, или наличные. Счётчик включён.","Sí, o efectivo. El taxímetro está encendido.",da ili nalichnye schetchik vklyuchyon,si o efektibo el taksimetro esta ensendido,йес ор кэш митэр из раннинг,си о эфэктиво эль таксиметро эста энсендидо,ies or kesh miter iz ranning,da ili nalichnie schetchik vklichion,NPC
30,7,6,Great. Let’s go.,Отлично. Поехали.,Genial. Vamos.,otlichno poekhali,jenial bamos,грейт летс гоу,хениаль вамос,greit lets gou,otlichno poejali,User
