id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hi, I'm Alex. What's your name?","Привет, я Алекс. Как тебя зовут?","Hola, soy Alex. ¿Cómo te llamas?",privet ia aleks kak tebia zovut,ola soi aleks komo te iamas,хай айм алекс уотс ёр нэйм,ола сой алекс комо те ямас,jai aim aleks guats ior neim,priviet ia aleks kak tebia sovut,NPC
2,1,2,"Hi Alex, I'm Sophia.","Привет, Алекс, я София.","Hola Alex, soy Sophia.",privet aleks ia sofiia,ola aleks soi sofia,хай алекс айм софия,ола алекс сой софия,jai aleks aim sofia,priviet aleks ia sofiia,User
3,1,3,"Sophia, you have a beautiful smile. Can I buy you a drink?","София, у тебя красивая улыбка. Могу я угостить тебя напитком?","Sophia, tienes una hermosa sonrisa. ¿Puedo invitarte a una bebida?",sofiia u tebia krasivaia ulybka mogu ia ugostit tebia napitkom,sofia tienes una ermosa sonrisa puedo inbitarte a una bebida,софия ю хэв э бьютифул смайл кэн ай бай ю э дринк,софия тьенес уна эрмоса сонриса пуэдо инбитарте а уна бебида,sofia iu jav a biutiful smail kan ai bai iu a drink,sofiia u tebia krasivaia ulibka mogu ia ugostit tebia napitkom,NPC
4,1,4,"Thank you, that would be nice.","Спасибо, это было бы мило.","Gracias, eso sería amable.",spasibo eto bylo by milo,grasias eso seria amable,сенк ю зэт ууд би найс,грасиас эсо сериа амабле,zank iu dat uud bi nais,spasibo eto bilo bi milo,User
5,2,1,"Hello, my name is Jordan. What's yours?","Привет, меня зовут Джордан. Как твое?","Hola, me llamo Jordan. ¿Cuál es el tuyo?",privet menia zovut dzhordan kak tvoe,ola me iamo jordan kual es el tuio,хэллоу май нэйм из джордан уотс ёрс,ола ме ямо джордан куаль эс эль туйо,jelou mai neim is yordan guats iors,priviet menia sovut dzhordan kak tvoe,NPC
6,2,2,"Hello Jordan, I'm Mia.","Привет, Джордан, я Миа.","Hola Jordan, soy Mia.",privet dzhordan ia mia,ola jordan soi mia,хэллоу джордан айм миа,ола джордан сой миа,jelou yordan aim mia,priviet dzhordan ia mia,User
7,2,3,"Mia, you're stunning. Would you like to chat?","Миа, ты потрясающая. Хочешь поговорить?","Mia, eres impresionante. ¿Quieres charlar?",mia ty potriasaiushchaia khochesh pogovorit,mia eres impresionan te kieres charlar,миа юр станнинг ууд ю лайк ту чат,миа эрес импресьонанте кьерес чарлар,mia iur staning ud iu laik tu chat,mia ti potriasaiushchaia jochesh pogovorit,NPC
8,2,4,"Sure, what do you do?","Конечно, чем ты занимаешься?","Claro, ¿a qué te dedicas?",konechno chem ty zanimaiushsia,klaro a ke te dedikas,шур уот ду ю ду,кларо а ке те дедикас,shur guat du iu du,konechno chem ti zanimaiushsia,User
9,3,1,"Hey, I'm Riley. Who are you?","Привет, я Райли. Кто ты?","Hola, soy Riley. ¿Quién eres?",privet ia raili kto ty,ola soi railei kien eres,хэй айм райли ху ар ю,ола сой райлей кьен эрес,jei aim raili ju ar iu,priviet ia raili kto ti,NPC
10,3,2,"Hey Riley, I'm Taylor.","Привет, Райли, я Тейлор.","Hola Riley, soy Taylor.",privet raili ia teilor,ola railei soi tailor,хэй райли айм тейлор,ола райлей сой тайлор,jei raili aim teilor,priviet raili ia teilor,User
