id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,Good evening! Table for how many?,Добрый вечер! Столик на сколько человек?,Buenas noches. ¿Mesa para cuántos?,dobryy vecher stolik na skolko chelovek,buenas noches mesa para kuantos,гуд ивнинг тэйбл фор хау мэни,буэнас ночес меса пара куантос,gud ivning teibl for jau meni,dobrii vecher stolik na skolko chelovek,NPC
2,1,2,"Just two, please.","На двоих, пожалуйста.","Para dos, por favor.",na dvoikh pozhaluysta,para dos por fabor,джаст ту плиз,пара дос пор фавор,djast tu pliz,na dvoij pozhaluista,User
3,1,3,Right this way. Here are your menus.,"Сюда, пожалуйста. Вот ваши меню.",Por aquí. Aquí tienen los menús.,syuda pozhaluysta vot vashi meny,por aki aki tienen los menus,райт зис уэй хир ар ёр меньюз,пор аки аки тьенен лос менус,rait dis uei jir ar ior meniuz,siuda pozhaluista vot vashi meniu,NPC
4,1,4,Thank you.,Спасибо.,Gracias.,spasibo,grasias,сенк ю,грасиас,zank iu,spasibo,User
5,2,1,"Hi, I’m Alex, your server. What can I get you to drink?","Привет, я Алекс, ваш официант. Что будете пить?","Hola, soy Alex, su mesero. ¿Qué desean de beber?",privet ia aleks vash ofitsiant chto budete pit,ola soi aleks su mesero ke desean de beber,хай айм алекс ёр сёрвер уот кэн ай гет ю ту дринк,ола сой алекс су месеро ке десеан де бебер,jai aim aleks ior server uot ken ai get iu tu drink,privet ia aleks vash ofitsiant chto budete pit,NPC
6,2,2,"A glass of red wine and a sparkling water, please.","Бокал красного вина и газированную воду, пожалуйста.","Una copa de vino tinto y agua con gas, por favor.",bokal krasnogo vina i gazirovannuyu vodu pozhaluysta,una kopa de bino tinto i agua kon gas por fabor,э глэс оф рэд уайн энд э спарклинг уотэр плиз,уна копа де вино тинто и агуа кон гас пор фавор,a glas of red uain and a sparkling uoter pliz,bokal krasnogo vina i gazirovannuiu vodu pozhaluista,User
7,2,3,Great choices. I’ll be right back.,Отличный выбор. Сейчас вернусь.,Buenas elecciones. Vuelvo enseguida.,otlichnyy vybor seychas vernus,buenas eleksiones buelbo ensiguida,грейт чойсиз айл би райт бэк,буэнас элексьонес вуэльво энсигуида,greit choisiz ail bi rait bek,otlichnii vibor seichas vernus,NPC
8,2,4,Thanks!,Спасибо!,¡Gracias!,spasibo,grasias,сенкс,грасиас,zenks,spasibo,User
9,3,1,Are you ready to order?,Готовы сделать заказ?,¿Están listos para ordenar?,gotovy sdelat zakaz,estan listos para ordenar,ар ю рэди ту ордер,эстан листос пара орденар,ar iu redi tu order,gotovi sdelat zakaz,NPC
10,3,2,Yes. I’ll have the grilled salmon.,Да. Мне лосось на гриле.,Sí. Yo quiero el salmón a la parrilla.,da mne losos na grile,si io kiero el salmon a la parriya,йес айл хэв зэ грилд сэлмон,си йо кьеро эль сальмон а ла паррийя,ies ail jev de grild salmon,da mne losos na grile,User
11,3,3,Good choice. And for you?,Отличный выбор. А вам?,Buena elección. ¿Y para usted?,otlichnyy vybor a vam,buena eleksion i para usted,гуд чойс энд фор ю,буэна элексьон и пара устед,gud chois and for iu,otlichnii vibor a vam,NPC
12,3,4,"The pasta with mushrooms, please.","Пасту с грибами, пожалуйста.","La pasta con champiñones, por favor.",pastu s gribami pozhaluysta,la pasta kon champiniones por fabor,зэ паста уиз машрумз плиз,ла паста кон чампиньонес пор фавор,de pasta uid mashrumz pliz,pastu s gribami pozhaluista,User
13,4,1,How is everything tasting?,Как вам еда?,¿Cómo está todo de sabor?,kak vam yeda,komo esta todo de sabor,хау из эврисинг тэйстин,комо эста тодо де сабор,jau iz evrising teisting,kak vam eda,NPC
14,4,2,"It’s delicious, thank you.","Очень вкусно, спасибо.","Está delicioso, gracias.",ochen vkusno spasibo,esta delisioso grasias,итс дилишэс сенк ю,эста делисьосо грасиас,its delishes zank iu,ochen vkusno spasibo,User
15,4,3,Wonderful. Can I get you anything else?,Отлично. Принести вам ещё что-нибудь?,Maravilloso. ¿Les traigo algo más?,otlichno prinesti vam eshchyo chto-nibud,marabilloso les traigo algo mas,уондерфул кэн ай гет ю энисинг элс,марабильосо лес трайго альго мас,uonderful ken ai get iu enising els,otlichno prinesti vam eshchio chto-nibud,NPC
16,4,4,"Not right now, thanks.","Пока нет, спасибо.","Ahora no, gracias.",poka net spasibo,ahora no grasias,нот райт нау сенкс,аора но грасиас,not rait nau zenks,poka net spasibo,User
