id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hi, long time no see!","Привет, давно не виделись!","¡Hola, hace tiempo que no nos vemos!",privet davno ne videlis,ola as tiempo ke no nos vemos,хай лонг тайм ноу си,ола ас тиемпо ке но нос vemos,hi long time no see,privet davno ne videlis,NPC
2,1,2,"Yeah, it's been a while. How have you been?","Да, прошло некоторое время. Как дела?","Sí, ha pasado un tiempo. ¿Cómo has estado?",da proshlo nekotoroe vremya kak dela,si a pasado un tiempo komo as estado,йе лонг тайм ноу си хау хэв ю бин,си а pasado un tiempo komo as estado,yeah its been a while how have you been,da proshlo nekotoroe vremya kak dela,User
3,2,1,"Hey, nice weather today, isn't it?","Эй, сегодня хорошая погода, не так ли?","Oye, qué buen clima hoy, ¿verdad?",ey segodnya khoroshaya pogoda ne tak li,oye ke buen klima oy ver dad,хей найс ведер тудей изнт ит,ое ке буен клима ой вердад,hey nice weather today isnt it,ey segodnya khoroshaya pogoda ne tak li,NPC
4,2,2,"Yeah, finally some sun after all that rain.","Да, наконец-то солнце после всей этой дождливой погоды.","Sí, por fin un poco de sol después de tanta lluvia.",da nakonets to solntse posle vsey etoy dozhdovoy pogody,si por fin un poko de sol despues de tanta lyuvia,йе финали сам сан афтер ол дат рейн,си пор фин un poko de sol despues de tanta lyuvia,yeah finally some sun after all that rain,da nakonets to solntse posle vsey etoy dozhdovoy pogody,User
5,2,3,"I know, I was starting to miss the warmth.","Знаю, я уже начал скучать по теплу.","Lo sé, ya empezaba a extrañar el calor.",znayu ya uzhe nachal skuchat po teplu,lo se ya empezaba a ek stranyar el kalor,ай ноу ай уоз стартинг ту мис зэ вормт,lo se ya empezaba a ek stranyar el kalor,i know i was starting to miss the warmth,znayu ya uzhe nachal skuchat po teplu,NPC
6,2,4,Let's hope it sticks around for the weekend.,"Надеюсь, она продержится до выходных.",Ojalá se mantenga así para el fin de semana.,nadejus ona proderezhitsya do vykhodnykh,oyalá se mantenga asi para el fin de semana,летс хоуп ит стикс эраунд фор зэ уикенд,oyalá se mantenga asi para el fin de semana,lets hope it sticks around for the weekend,nadejus ona proderezhitsya do vykhodnykh,User
7,3,1,What are you doing this weekend?,Чем ты занимаешься на этих выходных?,¿Qué vas a hacer este fin de semana?,chem ty zanimaeshsya na etikh vykhodnykh,ke vas a aser este fin de semana,уот ар ю дуинг зис уикенд,ke vas a aser este fin de semana,what are you doing this weekend,chem ty zanimaeshsya na etikh vykhodnykh,NPC
8,3,2,"Not sure yet, maybe catch a movie.","Пока не уверен, может, посмотрю кино.","Todavía no estoy seguro, tal vez ver una película.",poka ne uverenn mozhet posmotryu kino,todavia no estoy seguro tal vez ver una pelikula,нот сюр йет мэби кэтч э муви,todavia no estoy seguro tal vez ver una pelikula,not sure yet maybe catch a movie,poka ne uverenn mozhet posmotryu kino,User
9,3,3,Sounds fun. Which one are you thinking of?,Звучит весело. О каком именно ты думаешь?,Suena divertido. ¿Cuál estás pensando ver?,zvnuchit veselo o kakom imenno ty dumayesh,suena divertido kwal estas pensyando ver,саундс фан уич уан ар ю тинкнг ов,suena divertido kwal estas pensyando ver,sounds fun which one are you thinking of,zvnuchit veselo o kakom imenno ty dumayesh,NPC
10,3,4,Probably that new comedy everyone's talking about.,"Вероятно, ту новую комедию, о которой все говорят.",Probablemente esa nueva comedia de la que todos hablan.,veroyatno tu novuyu komediyu o kotoroy vse govoryat,probablemente esa nueva komedia de la ke todos ablan,пробабли дат нью комеди эвриуанз токинг эбаут,probablemente esa nueva komedia de la ke todos ablan,probably that new comedy everyones talking about,veroyatno tu novuyu komediyu o kotoroy vse govoryat,User
11,4,1,How's work treating you these days?,Как работа относится к тебе в последнее время?,¿Cómo te está tratando el trabajo últimamente?,kak rabota otnositsya k tebe v poslednee vremya,komo te esta tratando el trabajo ultimamente,хауз ворк тритинг ю зиз дейз,komo te esta tratando el trabajo ultimamente,hows work treating you these days,kak rabota otnositsya k tebe v poslednee vremya,NPC
12,4,2,"It's okay, pretty busy with deadlines.","Нормально, довольно занято из-за дедлайнов.","Está bien, bastante ocupado con las fechas límite.",normalno dovolno zanято iz za dedlaynov,esta bien bastante o kupado kon las fechas limete,итс оукей прети бизи уиз дедлайнз,esta bien bastante o kupado kon las fechas limete,its okay pretty busy with deadlines,normalno dovolno zanято iz za dedlaynov,User
13,4,3,Tell me about it. Anything exciting on the horizon?,Расскажи мне об этом. Есть ли что-то захватывающее впереди?,Cuéntame. ¿Hay algo emocionante en el horizonte?,rasskazhi mne ob etom est li chto to zakhvatyvayushchee vperedi,kuentame ay algo emosyonante en el orisonte,тел ми эбаут ит энни эксайтинг он зэ хорайзн,kuentame ay algo emosyonante en el orisonte,tell me about it anything exciting on the horizon,rasskazhi mne ob etom est li chto to zakhvatyvayushchee vperedi,NPC
14,4,4,"Not really, just the usual grind.","Не особо, просто обычная рутина.","No realmente, solo la rutina habitual.",ne osobenno prosto obychnaya rutina,no real mente solo la rutina abitual,нот рели джаст зэ ушуал грайнд,no real mente solo la rutina abitual,not really just the usual grind,ne osobenno prosto obychnaya rutina,User
15,5,1,"So, what do you like to do in your free time?","Итак, чем ты любишь заниматься в свободное время?","Entonces, ¿qué te gusta hacer en tu tiempo libre?",itak chem ty lyubish zanima tsya v svobodnoe vremya,entonces ke te gusta aser en tu tiempo libre,со уот ду ю лайк ту ду ин юр фри тайм,entonces ke te gusta aser en tu tiempo libre,so what do you like to do in your free time,itak chem ty lyubish zanima tsya v svobodnoe vremya,NPC
16,5,2,"I enjoy reading books, especially mysteries.","Мне нравится читать книги, особенно детективы.","Me gusta leer libros, especialmente misterios.",mne nravitsya chitat knigi osobenno detektivy,me gusta leer libros espe sial mente misterios,ай энджой ридинг букз эспешали мистериз,me gusta leer libros espe sial mente misterios,i enjoy reading books especially mysteries,mne nravitsya chitat knigi osobenno detektivy,User
17,5,3,That's cool. Got any recommendations?,Это круто. Есть рекомендации?,Eso es genial. ¿Alguna recomendación?,eto kruto est rekomendatsii,eso es x enial alguna reko mendasion,дэтс кул гот энни рекоммендейшнз,eso es x enial alguna reko mendasion,thats cool got any recommendations,eto kruto est rekomendatsii,NPC
18,5,4,"Sure, try 'The Silent Patient' by Alex Michaelides.","Конечно, попробуй 'Молчаливую пациентку' Алекса Михаэлидеса.","Claro, prueba 'The Silent Patient' de Alex Michaelides.",konechno poprobuy molchalivuyu patsientku aleksa mikhaëlidesa,kl aro pru eba za saylent peisyent de a leks mikae lides,шур трай зэ сайлент пэйшент бай элекс майклайдис,kl aro pru eba za saylent peisyent de a leks mikae lides,sure try the silent patient by alex michaelides,konechno poprobuy molchalivuyu patsientku aleksa mikhaëlidesa,User
19,5,5,I'll add that to my list. Thanks!,Добавлю это в свой список. Спасибо!,Lo agregaré a mi lista. ¡Gracias!,dobavlyu eto v svoy spisok spasibo,lo agre gare a mi lista grasi as,айл ад дат ту май лист тэнкс,lo agre gare a mi lista grasi as,ill add that to my list thanks,dobavlyu eto v svoy spisok spasibo,NPC
20,5,6,"No problem, you'll love it.","Не за что, тебе понравится.","De nada, te va a gustar.",ne za chto tebe ponravitsya,de nada te va a gustar,ноу проблем юл лав ит,de nada te va a gustar,no problem youll love it,ne za chto tebe ponravitsya,User
21,6,1,Have you tried the new coffee shop downtown?,Ты пробовал новый кофейный магазин в центре?,¿Has probado la nueva cafetería en el centro?,ty proboval novyy ko fe ynyy magazin v tsentre,as probado la nueva ka feteria en el sentro,хэв ю трайд зэ нью кофи шоп даунтаун,as probado la nueva ka feteria en el sentro,have you tried the new coffee shop downtown,ty proboval novyy ko fe ynyy magazin v tsentre,NPC
22,6,2,Not yet. Is the coffee any good?,Пока нет. Кофе там хороший?,Aún no. ¿Está bueno el café?,poka net kofe tam khoroshiy,aun no esta bueno el ka fe,нот йет из зэ кофи энни гуд,aun no esta bueno el ka fe,not yet is the coffee any good,poka net kofe tam khoroshiy,User
23,6,3,"It's fantastic, and the pastries are to die for.","Он фантастический, а выпечка просто умопомрачительная.","Es fantástico, y los pasteles son para morirse.",on fant asticheskiy a vypechka prosto umopomrachitelnaya,es fan tastiko y los pasteles son para morserse,итс фэнтэстик энд зэ пэстриз ар ту дай фор,es fan tastiko y los pasteles son para morserse,its fantastic and the pastries are to die for,on fant asticheskiy a vypechka prosto umopomrachitelnaya,NPC
24,6,4,What kind do they have?,Каких видов у них есть?,¿Qué tipos tienen?,kakikh vidov u nikh est,ke tipos tienen,уот кайнд ду зэй хэв,ke tipos tienen,what kind do they have,kakikh vidov u nikh est,User
25,6,5,"Croissants, muffins, you name it.","Круассаны, маффины, назови что угодно.","Croissants, muffins, lo que se te ocurra.",kruassany maffiny nazovi chto ugodno,kroasans muffins lo ke se te okura,кроассанз мафинз ю нейм ит,kroasans muffins lo ke se te okura,croissants muffins you name it,kruassany maffiny nazovi chto ugodno,NPC
26,6,6,Sounds perfect. I'll swing by tomorrow.,Звучит идеально. Загляну завтра.,Suena perfecto. Pasaré mañana.,zvnuchit idealno zaglyanu zavtra,suena perfekto pasare manyana,саундс перфек т айл свинг бай туморроу,suena perfekto pasare manyana,sounds perfect ill swing by tomorrow,zvnuchit idealno zaglyanu zavtra,User
