id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,Did you see the news about the new climate agreement?,Вы видели новости о новом климатическом соглашении?,¿Viste las noticias sobre el nuevo acuerdo climático?,vi videli novosti o novom klimaticheskom soglasenii,biste las notisias sobre el nuevo akuerdo k limatiko,did iu si de nuz abaut de niu kleimit egri ment,biste las notisias sobre el nuevo akuerdo k limatiko,did iu si de nuz abaut de niu kleimit egri ment,vi videli novosti o novom klimaticheskom soglasenii,NPC
2,1,2,"Yes, its a step forward, but not enough.","Да, это шаг вперёд, но недостаточно.","Sí, es un paso adelante, pero no suficiente.",da eto shag vper ed no nedostatochno,si es un paso adelante pero no su fisiente,ies its a step for uard bat not inaf,si es un paso adelante pero no su fisiente,ies its a step for uard bat not inaf,da eto shag vper ed no nedostatochno,User
3,1,3,"True, more action needed. What do you think is key?","Верно, нужно больше действий. Что, по-вашему, ключевое?","Cierto, se necesita más acción. ¿Qué crees que es clave?",verno nuzhno bol she deistvii chto po-vashemu kliuchevoe,serto se nesesita mas aksion ke kreas ke es klabe,tru mor ekshn nid ed guat du iu zink iz ki,serto se nesesita mas aksion ke kreas ke es klabe,tru mor ekshn nid ed guat du iu zink iz ki,verno nuzhno bol she deistvii chto po-vashemu kliuchevoe,NPC
4,1,4,Renewable energy investments globally.,Глобальные инвестиции в возобновляемую энергию.,Inversiones globales en energía renovable.,globalnye investitsii v vozobnovl emuiu energiu,inbersiones globales en enerxia reno bable,rin iu ab l end erdzi inves t ments glob alli,inbersiones globales en enerxia reno bable,rin iu ab l end erdzi inves t ments glob alli,globalnye investitsii v vozobnovl emuiu energiu,User
5,2,1,Whats your view on the recent tech breakthrough?,Как вы смотрите на недавний технологический прорыв?,¿Cuál es tu opinión sobre el reciente avance tecnológico?,kak vi smotrite na nedavnii texnologicheskii proryv,kual es tu opinion sobre el resiente abanse texnolojiko,guats ior viu on de risent tex breik tru,kual es tu opinion sobre el resiente abanse texnolojiko,guats ior viu on de risent tex breik tru,kak vi smotrite na nedavnii texnologicheskii proryv,NPC
6,2,2,"Exciting, could change daily life soon.","Волнующе, может изменить повседневную жизнь скоро.","Emocionante, podría cambiar la vida cotidiana pronto.",volnuiushche mozhet izmenit posednevnuiu zhizn skoro,emosionante podria kam biar la bida kotidiana pronto,ek saiting kud cheindj deili laif sun,emosionante podria kam biar la bida kotidiana pronto,ek saiting kud cheindj deili laif sun,volnuiushche mozhet izmenit posednevnuiu zhizn skoro,User
7,2,3,Optimistic. Any concerns though?,Оптимистично. Но есть опасения?,Optimista. ¿Alguna preocupación?,optimistichno no iest opasenii a,opti mista alguna preokupasion,opti mistik eni kons er ns zo,opti mista alguna preokupasion,opti mistik eni kons er ns zo,optimistichno no iest opasenii a,NPC
8,2,4,"Privacy issues, definitely need regulations.","Проблемы конфиденциальности, определённо нужны регуляции.","Problemas de privacidad, definitivamente se necesitan regulaciones.",problemi konfidentsialnosti opredelenno nuzhni reguliatsii,prob lemas de pri badi dad definitibamente se nesesitan re gulasiones,praive si is iuz def initli nid re g iuleishns,prob lemas de pri badi dad definitibamente se nesesitan re gulasiones,praive si is iuz def initli nid re g iuleishns,problemi konfidentsialnosti opredelenno nuzhni reguliatsii,User
9,3,1,Thoughts on the global economy forecast?,Мысли о прогнозе мировой экономики?,¿Qué piensas del pronóstico de la economía global?,mysli o prognoze mirovoi ekonomiki,ke piensas del pro nostiko de la e konomia global,tots on de global i konomi forecast,ke piensas del pro nostiko de la e konomia global,tots on de global i konomi forecast,mysli o prognoze mirovoi ekonomiki,NPC
10,3,2,"Cautiously positive, recovery ongoing.","Осторожно позитивно, восстановление продолжается.","Cautelosamente positivo, la recuperación continúa.",ostorozhno positivno vosstanovlenie prodolzhaietsia,kautelosa mente posi tibo la re kup erasion kon tinua,kosh us li pozitiv rik overi on going,kautelosa mente posi tibo la re kup erasion kon tinua,kosh us li pozitiv rik overi on going,ostorozhno positivno vosstanovlenie prodolzhaietsia,User
