id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hello, I'm Mark from Tech Corp. What's your name?","Привет, я Марк из Tech Corp. Как ваше имя?","Hola, soy Mark de Tech Corp. ¿Cuál es tu nombre?",privet ia mark iz tech corp kak vashe imia,ola soi mark de tech corp kual es tu nombre,хэллоу айм марк фром тек корп уотс ёр нэйм,ола сой марк де тек корп куаль эс ту номбре,jelou aim mark from tek korp guats ior neim,priviet ia mark iz tek korp kak vashe imia,NPC
2,1,2,"Hi Mark, I'm Anna from Innovate Ltd.","Привет, Марк, я Анна из Innovate Ltd.","Hola Mark, soy Anna de Innovate Ltd.",privet mark ia anna iz innovate ltd,ola mark soi anna de innovate ltd,хай марк айм анна фром инновейт лтд,ола марк сой анна де инновате лтд,jai mark aim ana from inoveit ltd,priviet mark ia anna iz innovate ltd,User
3,1,3,"Nice to meet you, Anna. What do you do there?","Приятно познакомиться, Анна. Чем вы там занимаетесь?","Encantado de conocerte, Anna. ¿A qué te dedicas allí?",priiatno poznakomitsia anna chem vy tam zanimaietes,enkantado de konoserte anna a ke te dedikas alli,найс ту мит ю анна уот ду ю ду зэр,энкантадо де коносерте анна а ке те дедикас айи,nais tu mit iu ana guat du iu du der,priiatno poznakomitsia anna chem vi tam zanimaietes,NPC
4,1,4,I'm a software engineer. And you?,Я инженер-программист. А вы?,Soy ingeniera de software. ¿Y tú?,ia inzhener-programmist a vy,soi injeniera de software i tu,айм э софтвэр энджинер энд ю,сой инхеньера де софтваре и ту,aim a softuer endyinir and iu,ia inzhener-programmist a vi,User
5,2,1,"Hi, I'm Sarah with Marketing Solutions. Who are you?","Привет, я Сара из Marketing Solutions. Кто вы?","Hola, soy Sarah de Marketing Solutions. ¿Quién eres?",privet ia sara iz marketing solutions kto vy,ola soi sara de marketing solutions kien eres,хай айм сара уиз маркетинг солюшнз ху ар ю,ола сой сара де маркетинг солусьонес кьен эрес,jai aim sara uid marketing solushons ju ar iu,priviet ia sara iz marketing solutions kto vi,NPC
6,2,2,"Hello Sarah, I'm David from Finance Group.","Привет, Сара, я Дэвид из Finance Group.","Hola Sarah, soy David de Finance Group.",privet sara ia devid iz finance group,ola sara soi david de finance group,хэллоу сара айм дэвид фром файнэнс груп,ола сара сой дэвид де файнанс груп,jelou sara aim david from fainans grup,priviet sara ia devid iz finance group,User
7,2,3,Pleased to meet you. Here's my card.,Рад познакомиться. Вот моя визитка.,Encantado de conocerte. Aquí está mi tarjeta.,rad poznakomitsia vot moia vizitka,enkantado de konoserte aki esta mi tarjeta,плизд ту мит ю хирс май кард,энкантадо де коносерте аки эста ми тархета,plisd tu mit iu jirs mai kard,rad poznakomitsia vot moia vizitka,NPC
8,2,4,"Thanks, here's mine.","Спасибо, вот моя.","Gracias, aquí la mía.",spasibo vot moia,grasias aki la mia,сенкс хирс майн,грасиас аки ла миа,zanks jirs main,spasibo vot moia,User
9,3,1,"Good morning, I'm John from Consulting Firm. And you?","Доброе утро, я Джон из Consulting Firm. А вы?","Buenos días, soy John de Consulting Firm. ¿Y tú?",dobroe utro ia dzhon iz consulting firm a vy,buenos dias soi john de consulting firm i tu,гуд морнинг айм джон фром консалтинг фирм энд ю,буэнос диас сой джон де консалтинг фирм и ту,gud morning aim yon from konsulting firm and iu,dobroe utro ia dzhon iz consulting firm a vi,NPC
10,3,2,"Good morning John, I'm Lisa with HR Services.","Доброе утро, Джон, я Лиза из HR Services.","Buenos días John, soy Lisa de HR Services.",dobroe utro dzhon ia liza iz hr services,buenos dias john soi lisa de hr services,гуд морнинг джон айм лиза уиз эйчар сервисез,буэнос диас джон сой лиза де эрр сервиセス,gud morning yon aim lisa uid eichar servises,dobroe utro dzhon ia lisa iz hr services,User
11,3,3,Great to meet you. What brings you here?,Отлично познакомиться. Что вас сюда привело?,Genial conocerte. ¿Qué te trae por aquí?,otlichno poznakomitsia chto vas siuda privelo,jenial konoserte ke te trae por aki,грейт ту мит ю уот брингз ю хир,хениаль коносерте ке те траэ пор аки,greit tu mit iu guat brings iu jir,otlichno poznakomitsia chto vas siuda privelo,NPC
12,3,4,Networking opportunities.,Возможности для networking.,Oportunidades de networking.,vozmozhnosti dlia networking,oportunidades de networking,нетворкинг оппортьюнитиз,опортунидадес де нетворкинг,netuorking oportunitis,vosmozhnosti dlia networking,User
13,4,1,Would you be interested in a meeting next week?,Вы заинтересованы в встрече на следующей неделе?,¿Estarías interesado en una reunión la próxima semana?,vy zainteresovany v vstreche na sleduyushchey nedele,estarias interesado en una reunion la proksima semana,ууд ю би интересед ин э митинг некст уик,эстариас интереса до эн уна реунион ла проксима семана,ud iu bi interesed in a miting nekst uik,vi zainteresovani v vstreche na sleduyushchei nedele,NPC
14,4,2,"Yes, that could be beneficial.","Да, это может быть полезно.","Sí, eso podría ser beneficioso.",da eto mozhet byt polezno,si eso podria ser benefisioso,йес зэт куд би бенефишиал,си эсо подрия сер бенефисиосо,ies dat kud bi benefishial,da eto mozhet bit polezno,User
15,4,3,How about Wednesday at 10 AM?,Как насчёт среды в 10 утра?,¿Qué tal el miércoles a las 10 AM?,kak naschyot sredy v 10 utra,ke tal el mierkoles a las 10 am,хау эбаут уэнсдэй ат 10 эйэм,ке таль эль мьерколес а лас 10 ам,jau abaut uensdei at 10 eiem,kak naschiot sredi v 10 utra,NPC
16,4,4,That works for me.,Мне подходит.,Eso me funciona.,mne podkhodit,eso me funsiona,зэт уоркс фор ми,эсо ме фунсиона,dat guorks for mi,mne podjodit,User
17,5,1,Let's connect on LinkedIn.,Давайте подключимся на LinkedIn.,Conectémonos en LinkedIn.,davayte podklyuchimsya na linkedin,konektemonos en linkedin,летс коннект он линкедин,конектемос эн линкедин,lets konekt on linkedin,davayte podkliuchimsia na linkedin,NPC
18,5,2,"Sure, what's your profile name?","Конечно, как ваше имя профиля?","Claro, ¿cuál es tu nombre de perfil?",konechno kak vashe imia profilya,klaro kual es tu nombre de perfil,шур уотс ёр профайл нэйм,кларо куаль эс ту номбре де перфиль,shur guats ior profil neim,konechno kak vashe imia profilia,User
19,5,3,It's mark-techcorp.,Это mark-techcorp.,Es mark-techcorp.,eto mark-techcorp,es mark-techcorp,итс марк-теккорп,эс марк-теккорп,its mark-tekcorp,eto mark-techcorp,NPC
20,5,4,Request sent.,Запрос отправлен.,Solicitud enviada.,zapros otpravlen,solisitud enbiada,реквест сент,солиси туд энвиада,rekuest sent,zapros otpravlen,User
