id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,Hi! Are you here for the park cleanup?,Привет! Вы здесь на уборку парка?,¡Hola! ¿Estás aquí por la limpieza del parque?,privet vy zdes na uborku parka,ola estas aki por la limpieza del parke,хай ар ю хир фор зэ парк клинап,ола эстас аки пор ла лимпьеса дель парке,jai ar iu jir for de park klinap,privet vi zdes na uborku parka,NPC
2,1,2,"Yes, I want to help. Where do I start?","Да, хочу помочь. С чего начать?","Sí, quiero ayudar. ¿Por dónde empiezo?",da khochu pomoch s chego nachat,si kiero aiudar por donde empieso,йес ай уонт ту хэлп уэр ду ай старт,си кьеро айудар пор донде эмпьесо,ies ai uont tu jelp uer du ai start,da jochu pomoch s chego nachat,User
3,1,3,Great! Grab gloves and a trash bag over there.,Отлично! Возьмите перчатки и мешок для мусора вон там.,¡Genial! Toma guantes y una bolsa de basura allá.,otlichno vozmite perchatki i meshok dlya musora von tam,henial toma guantes i una bolsa de basura aya,грэйт грэб глава энд э трэш бэг оувер зэр,хениаль тома гуантес и уна больса де басура айя,greit greb glava and a trash beg ouver der,otlichno vozmite perchatki i meshok dlia musora von tam,NPC
4,1,4,Got them. How long are we cleaning?,Взял. Сколько будем убирать?,Los tengo. ¿Cuánto tiempo vamos a limpiar?,vzyal skolko budem ubirat,los tengo kuanto tiempo bamos a limpiar,гот зэм хау лонг ар уи клининг,лос тенго куанто тьемпо вамос а лимпьяр,got dem jau long ar ui klining,vzial skolko budem ubirat,User
5,2,1,Welcome to the food drive! Can you sort cans?,Добро пожаловать на сбор продуктов! Можете сортировать консервы?,¡Bienvenido al banco de alimentos! ¿Puedes clasificar latas?,dobro pozhalovat na sbor produktov mozhete sortirovat konservy,bienbenido al banko de alimentos puedes klasifikar latas,уэлкам ту зэ фуд драйв кэн ю сорт кэнз,бьенвенидо аль банко де алиментос пуэдес класификар латас,uelkam tu de fud draiv ken iu sort kenz,dobro pozhalovat na sbor produktov mozhete sortirovat konservi,NPC
6,2,2,Sure! Which table is for vegetables?,Конечно! Какой стол для овощей?,Claro. ¿Cuál mesa es para vegetales?,konechno kakoy stol dlya ovoshchey,klaro kual mesa es para behetales,шур уич тэйбл из фор вэджитэблз,кларо куаль меса эс пара вехеталес,shur uich teibl iz for vejiteblz,konechno kakoi stol dlia ovoshchei,User
7,2,3,The blue one. Fruits go on the red table.,Синий. Фрукты — на красный стол.,La azul. Frutas van en la mesa roja.,siniy frukty na krasnyy stol,la asul frutas ban en la mesa roha,зэ блу уан фрутс гоу он зэ рэд тэйбл,ла асуль фрутас ван эн ла меса роха,de blu uan fruts gou on de red teibl,sinii frukti na krasnii stol,NPC
8,2,4,"Okay, I'll start with these soups.","Хорошо, начну с этих супов.","Bien, empezaré con estas sopas.",khorosho nachnu s etikh supov,bien empesare kon estas sopas,окэй айл старт уиз зис супс,бьен эмпесарэ кон эстас сопас,okei ail start uiz zis sups,jorosho nachnu s etij supov,User
9,3,1,"Hi, we're collecting books for kids.","Привет, мы собираем книги для детей.","Hola, estamos recolectando libros para niños.",privet my sobirayem knigi dlya detey,ola estamos rekolektando libros para ninyos,хай уир колэктинг букс фор кидз,ола hola estamos rekolektando libros para ninos,jai uir kolekting buks for kidz,privet mi sobiraem knigi dlia detei,NPC
10,3,2,I have some old picture books. Are they okay?,У меня есть старые книжки с картинками. Подойдут?,Tengo libros ilustrados viejos. ¿Están bien?,u menya est staryye knizhki s kartinkami podoydut,tengo libros ilustrados biehos estan bien,ай хэв сам оулд пикчер букс ар зэй окэй,тенго либрос илюстрадос вьехос эстан бьен,ai jev sam ould pikcher buks ar dei okei,u menia est stariie knizhki s kartinkami podoidut,User
11,3,3,Perfect! Put them in the green box.,Идеально! Положите в зелёную коробку.,¡Perfecto! Ponlos en la caja verde.,idealno polozhite v zelyonuyu korobku,perfekto ponlos en la kaha berde,перфект пут зэм ин зэ грин бокс,перфекто понлос эн ла каха верде,perfekt put dem in de grin boks,idealno polozhite v zelionuiu korobku,NPC
12,3,4,Done. Do you need more help?,Готово. Нужна ещё помощь?,Listo. ¿Necesitan más ayuda?,gotovo nuzhna eshchyo pomoshch,listo nesesitan mas aiuda,дан ду ю нид мор хэлп,листо несеситан мас айуда,dan du iu nid mor jelp,gotovo nuzhna eshchio pomoshch,User
13,4,1,The community fair is this Saturday!,Ярмарка сообщества в эту субботу!,¡La feria comunitaria es este sábado!,yarmarka soobshchestva v etu subbotu,la feria komunitaria es este sabado,зэ комьюнити фэр из зис сэтердэй,ла ферия комунитария эс эсте сабадо,de komiuniti fer iz zis seterdei,iarmarka soobshchestva v etu subbotu,NPC
14,4,2,What time does it start?,Во сколько начинается?,¿A qué hora empieza?,vo skolko nachinayetsya,a ke ora empiesa,уот тайм даз ит старт,а ке ора эмпьеса,guat taim daz it start,vo skolko nachinaetsia,User
15,4,3,At 10 AM. There will be games and food.,В 10 утра. Будут игры и еда.,A las 10 AM. Habrá juegos y comida.,v 10 utra budut igry i yeda,a las 10 am abra juegos i komida,эт 10 эйэм зэр уил би гэймз энд фуд,а лас 10 ам абра хуэгос и комида,at 10 eiem der uil bi geimz and fud,v 10 utra budut igri i eda,NPC
16,4,4,I'll bring my family. See you there!,Приведу семью. До встречи!,Traeré a mi familia. ¡Nos vemos!,privedu semyu do vstrechi,traere a mi familia nos bemos,айл бринг май фэмили си ю зэр,траэрэ а ми фамилия нос вемос,ail bring mai famili si iu der,privedu semiu do vstrechi,User
17,5,1,We need volunteers for the blood drive.,Нужны волонтёры на донорство крови.,Necesitamos voluntarios para la donación de sangre.,nuzhny volontery na donortstvo krovi,nesesitamos boluntarios para la donasion de sangre,уи нид волэнтирз фор зэ блад драйв,несеситамос волунтариос пара ла донасьон де сангре,ui nid volentirz for de blad draiv,nuzhni volonteri na donortstvo krovi,NPC
18,5,2,I can help sign people in. What time?,Могу помогать регистрировать. Во сколько?,Puedo ayudar a registrar personas. ¿A qué hora?,mogu pomogat registrirovat vo skolko,puedo aiudar a rehistrar personas a ke ora,ай кэн хэлп сайн пипл ин уот тайм,пуэдо айудар а рехистрар персон ас а ке ора,ai ken jelp sain pipl in guat taim,mogu pomogat registrirovat vo skolko,User
19,5,3,From 9 AM to 3 PM next Friday.,С 9 утра до 3 дня в следующую пятницу.,De 9 AM a 3 PM el próximo viernes.,s 9 utra do 3 dnya v sleduyushchuyu pyatnitsu,de 9 am a 3 pm el proksimo biernes,фром 9 эйэм ту 3 пиэм некст фрайдэй,де 9 ам а 3 пм эль проксимо вьернес,from 9 eiem tu 3 piem nekst fraidei,s 9 utra do 3 dnia v sleduiusheiu piatnitsu,NPC
20,5,4,I'll be there. Thanks for organizing!,Буду. Спасибо за организацию!,Estaré ahí. ¡Gracias por organizar!,budu spasibo za organizatsiyu,estare ai grasias por organisar,айл би зэр сенкс фор оргэнайзинг,эстарэ ай грасиас пор органисар,ail bi der zanks for orgenaizing,budu spasibo za organizatsiiu,User
21,6,1,Hello! Want to plant trees with us?,Привет! Хотите сажать деревья с нами?,¡Hola! ¿Quieres plantar árboles con nosotros?,privet khotite sazhat derevya s nami,ola kieres plantar arboles kon nosotros,хэллоу уонт ту плэнт триз уиз ас,ола кьерэс плантар арболес кон носотрос,jelou uont tu plent triz uiz as,privet joti te sazhat derevia s nami,NPC
22,6,2,Yes! How many are we planting?,Да! Сколько сажаем?,Sí. ¿Cuántos vamos a plantar?,da skolko sazhayem,si kuantos bamos a plantar,йес хау мэни ар уи плэнтинг,си куантос вамос а плантар,ies jau meni ar ui plenting,da skolko sazhaem,User
23,6,3,Fifty today. Here's a shovel and a sapling.,Пятьдесят сегодня. Вот лопата и саженец.,Cincuenta hoy. Aquí tienes una pala y un arbolito.,pyatdesyat segodnya vot lopata i sazhenets,sinkuenta oi aki tienes una pala i un arbolito,фифти тудэй хирс э шавэл энд э сэплинг,синкуэнта ой аки тьенес уна пала и ун арболито,fifti tudei jirs a shavel and a sepling,piatdesiat segodnia vot lopata i sazhenets,NPC
24,6,4,Let's go! Where's the first hole?,Поехали! Где первая яма?,¡Vamos! ¿Dónde está el primer hoyo?,poekhali gde pervaya yama,bamos donde esta el primer oyo,летс гоу уэрз зэ фёрст хоул,ваммос донде эста эль примэр ойо,lets gou uerz de ferst joul,poejali gde pervaia iama,User
