id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hello, I'd like to open a checking account.","Здравствуйте, я хочу открыть расчётный счёт.","Hola, me gustaría abrir una cuenta corriente.",zdravstvuite ia khochu otkryt raschyotnyy schyot,ola me gustaria abrir una kuenta korriente,хэллоу айд лайк ту опэн э чекинг эккаунт,ола ме густария абрир уна куэнта коррьенте,jelou aid laik tu open a cheking akaunt,zdravstvuite ia jochu otkrit raschotnii schiot,NPC
2,1,2,"Hi, welcome! Do you have ID with you?","Привет, добро пожаловать! У вас есть удостоверение?","Hola, ¡bienvenido! ¿Tienes identificación?",privet dobro pozhalovat u vas est udostoverenie,ola bienbenido tienes identifikasion,хай уэлкам ду ю хэв айди уиз ю,ола бьенвенидо тьенес идентификасьон,jai uelkam du iu jev aidi uiz iu,privet dobro pozhalovat u vas est udostoverenie,User
3,1,3,"Yes, here's my passport and driver's license.","Да, вот мой паспорт и водительские права.","Sí, aquí está mi pasaporte y licencia de conducir.",da vot moy pasport i voditelskie prava,si aki esta mi pasaporte i lisensia de konduzir,йес хирс май пасспорт энд драйверз лайсенс,си аки эста ми пасапорте и лисенсья де кондусир,ies jirs mai pasport and draiverz laisens,da vot moi pasport i voditelskie prava,NPC
4,1,4,Great. Would you like online banking too?,Отлично. Хотите также онлайн-банкинг?,Genial. ¿Quieres banca en línea también?,otlichno khotite takzhe onlayn-banking,henial kieres banka en linea tambien,грэйт ууд ю лайк онлайн бэнкинг ту,хениаль кьерес банка эн линеа тамбьен,greit ud iu laik onlain benking tu,otlichno joti te takzhe onlain-banking,User
5,2,1,"I need to deposit this check, please.","Мне нужно внести этот чек, пожалуйста.","Necesito depositar este cheque, por favor.",mne nuzhno vnest etot chek pozhaluysta,nesesito depositar este cheke por favor,ай нид ту дипозит зис чек плиз,несесито депоситар эсте чеке пор фавор,ai nid tu dipozit zis chek pliz,mne nuzhno vnest etot chek pozhaluista,NPC
6,2,2,Of course. Is it made out to you?,Конечно. Он выписан на ваше имя?,Claro. ¿Está a tu nombre?,konechno on vypisan na vashe imya,klaro esta a tu nombre,оф корс из ит мэйд аут ту ю,кларо эста а ту номбре,of kors iz it meid aut tu iu,konechno on vipisan na vashe imia,User
7,2,3,"Yes, and please put it all in savings.","Да, и положите всё на сберегательный счёт.","Sí, y por favor ponlo todo en ahorros.",da i polozhite vsyo na sberegatelnyy schyot,si i por favor ponlo todo en aorros,йес энд плиз пут ит ол ин сэйвингз,си и пор фавор понло тодо эн аоррос,ies and pliz put it ol in seivingz,da i polozhite vsio na sberegatelnii schiot,NPC
8,2,4,Done. Here's your receipt.,Готово. Вот ваша квитанция.,Listo. Aquí tienes tu recibo.,gotovo vot vasha kvitantsiya,listo aki tienes tu resibo,дан хирс ёр рисиит,листо аки тьенес ту ресибо,dan jirs ior risiit,gotovo vot vasha kvitantsiia,User
9,3,1,How do I transfer money to another bank?,Как перевести деньги в другой банк?,¿Cómo transfiero dinero a otro banco?,kak perevesti dengi v drugoy bank,komo transfiero dinero a otro banko,хау ду ай трэнсфер мани ту эназэр бэнк,комо трансфьеро динеро а отро банко,jau du ai transfer mani tu anader benk,kak perevesti dengi v drugoi bank,NPC
10,3,2,You can do it online or here at the counter.,Можно онлайн или здесь у стойки.,Puedes hacerlo en línea o aquí en el mostrador.,mozhno onlayn ili zdes u stoyki,puedes aserlo en linea o aki en el mostrador,ю кэн ду ит онлайн ор хир эт зэ каунтэр,пуэдес асерло эн линеа о аки эн эль мострадор,iu ken du it onlain or jir at de kaunter,mozhno onlain ili zdes u stoiki,User
