id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hi everyone, it's wonderful to have the whole family together again.","Привет всем, замечательно, что вся семья снова собралась вместе.","Hola a todos, es maravilloso tener a toda la familia junta de nuevo.",privet vsem zamechatelno chto vsya semya snova sobralas vmeste,ola a todos es marabiyoso tener a toda la familia yunta de nuevo,хай эвриван итс вандерфул ту хэв зэ хоул фэмили тугезер эгэйн,ола а тодос эс маррабьосо тэнер а тода ла фэмилия хунта дэ нуэбо,ai evrivan its uonderful tu jev ze jool family tuguezer again,privet bsem sameschatelno chto bsea semia snoba sibrálas biemestie,NPC
2,1,2,"Yes, I've been looking forward to this.","Да, я с нетерпением ждал этого.","Sí, he estado esperando esto con ansias.",da ya s neterpeniem zhdal etogo,si e estado esperando esto kon ansias,йес айв бин лукін форуард ту зис,си э эстадо эсперандо эсто кон ансиас,yes aiv bin luking foruard tu dis,da ya s nietierpieniem sdál ietogho,User
3,2,1,"This turkey looks delicious, Aunt Mary. Did you make it?","Эта индейка выглядит восхитительно, тетя Мэри. Ты её приготовила?","Este pavo se ve delicioso, tía Mary. ¿Lo hiciste tú?",eta indeyka vyiglyadit vosskhititelno tet ya mieri ty yie prigotovila,este pabo se be delisioso tia mari lo isiste tu,зис тёрки лукс делишес аут мэри дид ю мэйк ит,эсте пабо сэ бэ дэлисиосо тиа мэри ло исисте ту,dis turkey luks dilisios aut aunt mari did yu meik it,ieta indiéika biéguadit bósjititiélino tiétia méri ti ié priégotobila,NPC
4,2,2,"I did, with Grandma's recipe. What do you think?","Да, по рецепту бабушки. Что ты думаешь?","Sí, con la receta de la abuela. ¿Qué te parece?",da po retseptu babushki chto ty dumayesh,si kon la reseta de la abwela ke te parese,ай дид уиз грэндмас рецепи уот ду ю зинк,си кон ла ресэта дэ ла абwэла кэ тэ паресэ,ai did uiz grandmas resipi uot du yu zink,da po rietsiéiptu babúshki chto ti dumáiesh,User
5,2,3,It's perfect. I love how the family traditions continue.,"Идеально. Я люблю, как семейные традиции продолжаются.",Está perfecto. Me encanta cómo continúan las tradiciones familiares.,idealno ya lyublyu kak semeynye traditsii prodolzhayutsya,esta perfekto me enkanta komo kontinuan las tradisionés familiiáres,итс перфэкт ай лав хау зэ фэмили трэдишнс кэнтиню,эста перфэkто мэ энканта комо континюан лас традисионэс фамилиарэс,its perfect ai lav jau zi family tradisions kontinui,idiéialino ia liúblu kak semiéinye tradítsii prodojúutsia,NPC
6,2,4,"Me too, it makes these gatherings special.","Я тоже, это делает такие собрания особенными.","Yo también, hace que estas reuniones sean especiales.",ya tozhe eto delayet takiye sobraniya osobennymi,yo tambien isé ke estas reunions sean espesiales,ми ту ит мэйкс зиз гезэрингс спэшл,ио тэмбьен исэ кэ эстас реунионэс сэан эспэсиалэс,mi tu it meiks dis guzerings espeshial,ia tóshe éito diéiét takíiye sobrániya osobiénnymi,User
7,3,1,"So, cousin, how's school going this semester?","Итак, кузен, как дела в школе в этом семестре?","Entonces, primo, ¿cómo va la escuela este semestre?",itak kuzen kak dela v shkole v etom semestre,entonses primo komo ba la eskwela este semestre,со кусин хау из скул гоинг зис семэстер,энтонсэс примо комо ба ла эскwэла эстэ семэстрэ,so kuzin jauz skul going dis semester,iták kusién kak diéla b shkóli b iétiom siémiestrie,NPC
8,3,2,It's challenging but exciting. I got an A on my history project.,"Сложно, но увлекательно. Я получил А по проекту по истории.",Es desafiante pero emocionante. Saqué una A en mi proyecto de historia.,slozhno no uvelikatelno ya poluchil a po proektu po istorii,es desafiante pero emosyonante sake una a en mi proyektó de istoria,итс чэлэнджинг бат эксайтинг ай гот эн эй он май хистори проджэкт,эс дэсафьянтэ пэро эмосьонантэ саkэ уна а эн ми проиэkто дэ история,its chalenging bat eksaiting ai got an ei on mai jistori proyekt,slósno no uviéikatielno ia poliúchil a po prioiéiktu po istórii,User
9,3,3,That's great! We're all proud of you.,Это замечательно! Мы все гордимся тобой.,¡Eso es genial! Todos estamos orgullosos de ti.,eto zamechatelno my vse gordimsya toboy,eso es yenial todos estamos orgullosos de ti,зэтс грэйт уи ар ол прауд ов ю,эсо эс хэниаль тодос эстаmos осурюллосос дэ ти,zets greit ui ar ol proud ov yu,iéito samiechátielno mi bsi gordímsia tobóy,NPC
10,3,4,"Thanks, what about your new job?","Спасибо, а как насчёт твоей новой работы?","Gracias, ¿y qué tal tu nuevo trabajo?",spasibo a kak naschet tvoey novoy raboty,grasyas i ke tal tu nubóo trabajo,зэнкс уот эбаут юр нью джоб,грасиас и кэ таль ту нуэбо трабахо,zenks uot about yur niu yob,spasíibo a kak nashchiét tboiéi nóboiy rabóty,User
