id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Good morning, class. Welcome to Introduction to Psychology.","Доброе утро, класс. Добро пожаловать на Введение в психологию.","Buenos días, clase. Bienvenidos a Introducción a la Psicología.",dobroe utro klass dobro pozhalovat na vvedenie v psikhologiyu,buenos dias klase bienbenidos a introdusion a la psikologia,гуд морнинг класс велком ту интродакшн ту сайколэджи,буэнос диас класе бьенвенидос а интродюсьон а ла психология,gud morning klas uelkom tu introdakshn tu saikoloji,dobroe utro klass dobro pozhalovat na vvedenie v psijologiyu,NPC
2,1,2,"Good morning, Professor. I’m excited to learn.","Доброе утро, профессор. Я рад учиться.","Buenos días, profesor. Estoy emocionado por aprender.",dobroe utro professor ia rad uchitsya,buenos dias profesor estoi emosionado por aprender,гуд морнинг профессор айм эксайтед ту лёрн,буэнос диас профессор эстой эмосьонадо пор апрендер,gud morning profesor aim eksaited tu liorn,dobroe utro profesor ia rad uchitsia,User
3,1,3,Great attitude! Let’s start with the basics.,Отличное отношение! Начнём с основ.,¡Excelente actitud! Empecemos con lo básico.,otlichnoe otnoshenie nachnyom s osnov,ekselente aktitud empecemos kon lo basiko,грейт эттитюд летс старт уиз зэ бэйсикс,экселенте актуitud эмпесемос кон ло басико,greit etitiud lets start uid de beisiks,otlichnoe otnoshenie nachniom s osnov,NPC
4,1,4,What is psychology about?,О чём психология?,¿De qué trata la psicología?,o chyom psikhologiya,de ke trata la psikologia,уот из сайколэджи эбаут,де ке трата ла психология,guat iz saikoloji ebaut,o chiom psijologiya,User
5,2,1,Today we’ll discuss memory. Any questions so far?,Сегодня мы обсудим память. Есть вопросы пока?,Hoy hablaremos de la memoria. ¿Alguna pregunta hasta ahora?,segodnya my obsudim pamyat est voprosy poka,oi ablaremos de la memoria alguna pregunta asta ahora,тудэй уил дискасс мемори эни квестчнз соу фар,ой аблаremos де ла мемория альгуна прегунта аста аора,tudei uil diskas memori eni kuestchns sou far,segodnia mi obsudim pamiat est voprosi poka,NPC
6,2,2,"Yes, how does short-term memory work?","Да, как работает кратковременная память?","Sí, ¿cómo funciona la memoria a corto plazo?",da kak rabotaet kratkovremennaya pamyat,si komo funsiona la memoria a korto plaso,йес хау даз шорт-терм мемори уорк,си комо функьона ла мемория а корто плазо,ies jau daz short-term memori uork,da kak rabotaet kratkovremennaia pamiat,User
7,2,3,Good question. It holds about seven items for thirty seconds.,Хороший вопрос. Она удерживает около семи элементов на тридцать секунд.,Buena pregunta. Guarda unos siete ítems por treinta segundos.,khoroshiy vopros ona uderzhivaet okolo semi elementov na tridtsat sekund,buena pregunta guarda unos siete items por treinta segundos,гуд квестчн ит холдз эбаут сэвн айтемз фор сирти секандз,буэна прегунта гуарда унос сьете итемс пор трейнта сегундос,gud kuestchn it joldz ebaut sevn aitems for sirti sekands,joroshii vopros ona uderzhivaet okolo semi elementov na tridtsat sekund,NPC
8,2,4,"That’s helpful, thank you.","Это полезно, спасибо.","Eso ayuda, gracias.",eto polezno spasibo,eso ayuda grasias,зэтс хелпфул сенк ю,эсо аюда грасиас,dats jelpful zank iu,eto polezno spasibo,User
9,3,1,Let’s break into groups and discuss behaviorism.,Давайте разделимся на группы и обсудим бихевиоризм.,Dividámonos en grupos y hablemos del conductismo.,davayte razdelimsya na gruppy i obsudim bikheviorizm,dibida monos en grupos i ablemos del konduktismo,летс брейк инту группс энд дискасс бихейвиоризм,дивидамонос эн группос и аблемос дель кондуктисмо,lets breik intu grups and diskas bijeiviorizm,davayte razdelimsia na gruppi i obsudim bijeiviorizm,NPC
10,3,2,"Hi, I’m Alex. What do you think about rewards?","Привет, я Алекс. Что думаешь о наградах?","Hola, soy Alex. ¿Qué piensas de las recompensas?",privet ia aleks chto dumayesh o nagradakh,ola soi aleks ke piensas de las rekompensas,хай айм алекс уот ду ю синк эбаут риуордз,ола сой алекс ке пьенсас де лас рекомпенсас,jai aim aleks guat du iu sink ebaut riuords,priviet ia aleks chto dumaesh o nagradaj,User
11,3,3,"Hi Alex, I’m Mia. Rewards motivate learning.","Привет, Алекс, я Мия. Награды мотивируют обучение.","Hola Alex, soy Mia. Las recompensas motivan el aprendizaje.",privet aleks ia miya nagrady motiviruyut obuchenie,ola aleks soi mia las rekompensas motiban el aprendisaje,хай алекс айм миа риуордз мотивейт лёрнинг,ола алекс сой миа лас рекомпенсас мотиван эль апрендисахе,jai aleks aim mia riuords motivait liorning,priviet aleks ia miia nagradi motiviruiut obuchenie,NPC
12,3,4,I agree. Punishments also shape behavior.,Согласен. Наказания тоже формируют поведение.,De acuerdo. Los castigos también moldean la conducta.,soglasen nakazaniya tozhe formiruyut povedenie,de akuerdo los kastigos tambien moldean la konduta,ай эгри панишментс олсо шейп бихейвиор,де акуэрдо лос кастигос тамбьен мольдеан ла кондукта,ai egri panishments olso sheip bijeivior,soglasen nakazaniia tozhe formiruiut povedenie,User
13,4,1,Class dismissed. See you next week.,Занятие окончено. До встречи на следующей неделе.,Clase terminada. Nos vemos la próxima semana.,zanatie okoncheno do vstrechi na sleduyushchey nedele,klase terminada nos bemos la proksima semana,класс дисмисд си ю некст уик,класе терминадо нос вемос ла проксима семана,klas dismisd si iu nekst uik,zanatie okoncheno do vstrechi na sleduiushei nedele,NPC
14,4,2,"Professor, may I ask about the reading list?","Профессор, можно спросить о списке литературы?","Profesor, ¿puedo preguntar sobre la lista de lecturas?",professor mozhno sprosit o spiske literatury,profesor puedo preguntar sobre la lista de lekturas,профессор мэй ай аск эбаут зэ ридинг лист,професор пуэдо прегунтар собре ла листа де лектурас,profesor mei ai ask ebaut de riding list,professor mojno sprosit o spiske literaturi,User
15,4,3,Of course. I’ll email it tonight.,Конечно. Я отправлю его по почте сегодня вечером.,Claro. Lo enviaré por correo esta noche.,konechno ia otpravlyu ego po pochye segodnya vecherom,klaro lo enbiare por correo esta noche,оф корс айл имэйл ит тунайт,кларо ло энвиаре пор коррео эста ноче,of kors ail imeil it tunait,konechno ia otpravliu ego po pochte segodnia vecherom,NPC
16,4,4,Thank you very much.,Большое спасибо.,Muchas gracias.,bolshoe spasibo,muchas grasias,сенк ю вэри мач,мучас грасиас,zank iu veri mach,bolshoe spasibo,User
17,5,1,Who wants to present first today?,Кто хочет представить первым сегодня?,¿Quién quiere presentar primero hoy?,kto khochet predstavit pervym segodnya,kien kiere presentar primero oi,ху уонтс ту презент фёрст тудэй,кьен кьерэ презентар примэро ой,ju uonts tu prezent first tudei,kto jochet predstavit pervim segodnia,NPC
18,5,2,I’ll go. My topic is cognitive development.,Я пойду. Моя тема — когнитивное развитие.,Yo voy. Mi tema es el desarrollo cognitivo.,ia poydu moya tema kognitivnoe razvitie,io boi mi tema es el desarrollo kognitibo,айл гоу май топик из когнитив дивелопмент,йо вой ми тема эс эль десарройо когнитиво,ail gou mai topik iz kognitiv divelopment,ia poidu moia tema kognitivnoe razvitie,User
19,5,3,Excellent. You have ten minutes.,Отлично. У вас десять минут.,Excelente. Tienes diez minutos.,otlichno u vas desyat minut,ekselente tienes dies minutos,эксселент ю хэв тен минтс,экселенте тьенес дьес минутос,ekselent iu jev ten mints,otlichno u vas desiat minut,NPC
20,5,4,Thank you. I’m ready.,Спасибо. Я готов.,Gracias. Estoy listo.,spasibo ia gotov,grasias estoi listo,сенк ю айм рэди,грасиас эстой листо,zank iu aim redi,spasibo ia gotov,User
21,6,1,"Hi, are you studying for the exam too?","Привет, ты тоже готовишься к экзамену?","Hola, ¿también estás estudiando para el examen?",privet ty tozhe gotovishsya k ekzamenu,ola tambien estas estudiando para el eksamen,хай ар ю стадиинг фор зэ экзэм ту,ола тамбьен эстас эстудиандо пара эль экзамен,jai ar iu stadiing for de ekzem tu,priviet ti tozhe gotovishsia k ekzamenu,NPC
22,6,2,"Yes, I am. Want to review together?",Да. Хочешь повторить вместе?,Sí. ¿Quieres repasar juntos?,da khochesh povtorit vmeste,si kieres repasar juntos,йес ай эм уонт ту ривью тугезэр,си кьерэс репасар хунтос,ies ai em uont tu riviu tugeder,da jochesh povtorit vmeste,User
23,6,3,Sure. Let’s start with chapter three.,Конечно. Начнём с третьей главы.,Claro. Empecemos con el capítulo tres.,konechno nachnyom s tretyey glavy,klaro empecemos kon el kapitulo tres,шур летс старт уиз чэптэр три,кларо эмпесемос кон эль капитуло трес,shur lets start uid chepter tri,konechno nachniom s tretei glavi,NPC
24,6,4,Perfect. I have notes here.,Отлично. У меня есть конспекты.,Perfecto. Tengo apuntes aquí.,otlichno u menya est konspekty,perfekto tengo apuntes aki,перфект ай хэв ноутс хир,перфекто тенго апунтес аки,perfekt ai jev nouts jir,otlichno u menia est konspekti,User
25,7,1,Come in. How can I help you today?,Заходите. Чем могу помочь сегодня?,Pasa. ¿En qué puedo ayudarte hoy?,zakhodite chem mogu pomoch segodnya,pasa en ke puedo ayudarte oi,кам ин хау кэн ай хелп ю тудэй,паса эн ке пуэдо аюдарте ой,kam in jau ken ai jelp iu tudei,zajodite chem mogu pomoch segodnia,NPC
26,7,2,I’m confused about Freud’s theories.,Я запутался в теориях Фрейда.,Estoy confundido con las teorías de Freud.,ia zaputalsya v teoriyakh freyda,estoi konfundido kon las teorias de freud,айм конфьюзд эбаут фройдз теориз,эстой конфундидо кон лас теориас де фрейд,aim konfuzd ebaut froidz teoriz,ia zaputalsia v teorii freida,User
27,7,3,No problem. Freud focused on the unconscious mind.,Ничего. Фрейд сосредоточился на бессознательном.,No hay problema. Freud se centró en lo inconsciente.,nichego freyd sosredotochilsya na bessoznatelnom,no ai problema freud se sentro en lo inkonsiente,ноу проблем фройд фоукэст он зэ анконшэс майнд,но ай проблем фрейд се сентро эн ло инконсьенте,nou problem froid foukest on de ankonshes maind,nichego freid sosredotochilsia na bessoznatelnom,NPC
28,7,4,So dreams reveal hidden desires?,"Значит, сны раскрывают скрытые желания?",¿Entonces los sueños revelan deseos ocultos?,znachit sny raskryvayut skrytye zhelaniya,entonses los suenios rebelan deseos okultos,соу дримз ривил хидн дизайрз,энтонсес лос суэньос ребелан десеос окультос,sou drimz rivil jidn dizairs,znachit sni raskrivaiut skritie zhelaniia,User
29,7,5,Exactly. Read chapter five for examples.,Именно. Прочитайте пятую главу для примеров.,Exacto. Lee el capítulo cinco para ejemplos.,imenno prochitayte pyatuyu glavu dlya primerov,eksakto lee el kapitulo sinko para eksemplos,игзэктли рид чэптэр файв фор экзэмплз,эксакто ле эль капитуло синко пара эксемплос,igzektli rid chepter faiv for ekzemplz,imenno prochitaite piatuiu glavu dlia primerov,NPC
30,7,6,"Thank you, that clears it up.","Спасибо, теперь понятно.","Gracias, eso lo aclara.",spasibo teper ponyatno,grasias eso lo aklara,сенк ю зэт клирз ит ап,грасиас эсо ло аклара,zank iu dat klirs it ap,spasibo teper poniatno,User
31,8,1,Today’s topic: nature versus nurture. Thoughts?,Тема сегодня: природа против воспитания. Мысли?,Tema de hoy: naturaleza versus crianza. ¿Opiniones?,tema segodnya priroda protiv vospitaniya mysli,tema de oi naturaleza versus kriansa opiniones,тудэйз топик нейчэр вёрсэс нёрчэр соутс,тема де ой нату ралеза версус крианса опиньонес,tudeiz topik neicher viorses niorcher souts,tema segodnia priroda protiv vospitaniia misli,NPC
32,8,2,I think both are important.,"Я думаю, оба важны.",Creo que ambos son importantes.,ia dumayu oba vazhny,kreo ke ambos son importantes,ай синк боус ар импортэнт,крео ке амбос сон импорта нтес,ai sink bous ar importent,ia dumaю oba vajni,User
33,8,3,Agreed. But which has more influence?,Согласен. Но что влияет больше?,De acuerdo. ¿Pero cuál influye más?,soglasen no chto vliyaet bolshe,de akuerdo pero kual influye mas,эгрид бат уич хэз мор инфлуэнс,де акуэрдо перо куаль инфлуйе мас,egrid bat uich jez mor influens,soglasen no chto vliiaet bolshe,NPC
34,8,4,"Genes set the base, environment shapes it.","Гены задают основу, среда формирует.","Los genes dan la base, el entorno la moldea.",geny zadayut osnovu sreda formiruet,los genes dan la base el entorno la moldea,джинз сет зэ бэйс энвайрэнмент шейпс ит,лос генес дан ла басе эль энторно ла мольдеа,djinz set de beis envaironment sheips it,geni zadaiut osnovu sreda formiruet,User
35,8,5,Well said. Anyone disagree?,Хорошо сказано. Кто не согласен?,Bien dicho. ¿Alguien en desacuerdo?,khorosho skazano kto ne soglasen,bien dicho alguien en desakuerdo,уел сэд эниуан дисэгри,бьен дичо альгьен эн деса куэрдо,uel sed eniuan disagri,jorosho skazano kto ne soglasen,NPC
36,8,6,I think culture matters too.,"Я думаю, культура тоже важна.",Creo que la cultura también importa.,ia dumayu kultura tozhe vazhna,kreo ke la kultura tambien importa,ай синк калчэр мэттэрз ту,крео ке ла культу ра тамбьен импорта,ai sink kalcher metters tu,ia dumaю kultura tozhe vajna,User
