id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hello, my name is Mark. What is your name?","Привет, меня зовут Марк. Как ваше имя?","Hola, me llamo Mark. ¿Cuál es tu nombre?",privet menia zovut mark kak vashe imia,ola me iamo mark kual es tu nombre,хэллоу май нэйм из марк уот из ёр нэйм,ола ме ямо марк куаль эс ту номбре,jelou mai neim is mark guat is iur neim,priviet menia sovut mark kak vashe imia,NPC
2,1,2,"Hello, my name is Ivan.","Привет, меня зовут Иван.","Hola, me llamo Ivan.",privet menia zovut ivan,ola me iamo ivan,хэллоу май нэйм из иван,ола ме ямо иван,jelou mai neim is ivan,priviet menia sovut ivan,User
3,2,1,"Hi, I'm Sarah. Nice to meet you.","Привет, я Сара. Рад познакомиться.","Hola, soy Sarah. Encantada de conocerte.",privet ia sara rad poznakomitsia,ola soi sara enkantada de konoserte,хай айм сара найс ту мит ю,ола сой сара энкантада де коносерте,jai aim sara nais tu mit iu,priviet ia sara rad poznakomitsia,NPC
4,2,2,"Hi Sarah, I'm Emily. Nice to meet you too.","Привет, Сара, я Эмили. Мне тоже приятно.","Hola Sarah, soy Emily. Encantada también.",privet sara ia emili mne tozhe priiatno,ola sara soi emili enkantada tamben,хай сара айм эмили найс ту мит ю ту,ола сара сой эмили энкантада тамбьен,jai sara aim emili nais tu mit iu tu,priviet sara ia emili mne tozhe priiatno,User
5,2,3,How are you today?,Как дела сегодня?,¿Cómo estás hoy?,kak dela segodnia,komo estas oi,хау ар ю тудэй,комо эстас ой,jau ar iu tudei,kak dela segodnia,NPC
6,2,4,"I'm good, thanks. And you?","Хорошо, спасибо. А у тебя?","Estoy bien, gracias. ¿Y tú?",jorosho spasibo a u tebia,estoi bien grasias i tu,айм гуд сенкс энд ю,эстой бьен грасиас и ту,aim gud zanks and iu,jorosho spasibo a u tebia,User
7,3,1,"Good morning, my name is John. What's yours?","Доброе утро, меня зовут Джон. Как ваше?","Buenos días, me llamo John. ¿Cuál es el tuyo?",dobroe utro menia zovut dzhon kak vashe,buenos dias me iamo john kual es el tuio,гуд морнинг май нэйм из джон уотс ёрс,буэнос диас ме ямо джон куаль эс эль туйо,gud morning mai neim is yon guats iors,dobroe utro menia sovut dzhon kak vashe,NPC
8,3,2,"Good morning, John. I'm Lisa.","Доброе утро, Джон. Я Лиза.","Buenos días, John. Soy Lisa.",dobroe utro dzhon ia liza,buenos dias john soi lisa,гуд морнинг джон айм лиза,буэнос диас джон сой лиза,gud morning yon aim lisa,dobroe utro dzhon ia lisa,User
9,3,3,"Pleased to meet you, Lisa.","Рад познакомиться, Лиза.","Encantado de conocerte, Lisa.",rad poznakomitsia liza,enkantado de konoserte lisa,плизд ту мит ю лиза,энкантадо де коносерте лиза,plisd tu mit iu lisa,rad poznakomitsia lisa,NPC
10,3,4,"Likewise, John.","Взаимно, Джон.","Igualmente, John.",vzaimno dzhon,igualmente john,лайквайз джон,игуальменте джон,laikuais yon,vzaimno dzhon,User
